iter	Logloss
0	0.6785377297
1	0.6643433293
2	0.6491911671
3	0.6352140399
4	0.621844839
5	0.6089250077
6	0.5964141822
7	0.5839819533
8	0.5719953161
9	0.5603655965
10	0.5495222427
11	0.5380469763
12	0.5271582948
13	0.5167904897
14	0.5065102585
15	0.4967609245
16	0.4879480207
17	0.4796229653
18	0.4709755615
19	0.4625426382
20	0.4545157338
21	0.4465814429
22	0.4393091323
23	0.431503259
24	0.4233604915
25	0.4161341174
26	0.4093405948
27	0.4029253607
28	0.3964640061
29	0.3905012851
30	0.3852033619
31	0.3794254003
32	0.3741213583
33	0.3686728063
34	0.3632601042
35	0.3580967351
36	0.352985123
37	0.3478361398
38	0.3425110583
39	0.3372573308
40	0.3328694465
41	0.3288575191
42	0.3244873173
43	0.319976167
44	0.3160118786
45	0.3121566053
46	0.3086172886
47	0.3043956819
48	0.3010132115
49	0.2968309385
50	0.2933746502
51	0.2898266755
52	0.2861836707
53	0.2828310327
54	0.2798526702
55	0.2773719829
56	0.2743880406
57	0.2719225228
58	0.2691397856
59	0.2666923023
60	0.2644214373
61	0.2622045528
62	0.2600197033
63	0.2575602318
64	0.2554863579
65	0.253317458
66	0.2512654921
67	0.2492230159
68	0.2470058296
69	0.2446826392
70	0.242488032
71	0.2407350911
72	0.2387593325
73	0.2362261479
74	0.234476454
75	0.2321543872
76	0.2304167693
77	0.2286803791
78	0.2270418849
79	0.2252004448
80	0.223812521
81	0.2223684433
82	0.221129286
83	0.2195313847
84	0.2176768168
85	0.2165259307
86	0.2151183331
87	0.2135888028
88	0.212500419
89	0.2111233914
90	0.2098489393
91	0.2085990266
92	0.207475302
93	0.2066032604
94	0.2054404189
95	0.2044101951
96	0.2033567899
97	0.2025612773
98	0.2016146192
99	0.2005758753
100	0.1997121034
101	0.1988911843
102	0.1979260108
103	0.1971160612
104	0.1963689583
105	0.1956760779
106	0.194921666
107	0.1940599184
108	0.193392817
109	0.1925740817
110	0.1917354488
111	0.1909695917
112	0.1900474411
113	0.1894563794
114	0.1889560416
115	0.1882072067
116	0.1875625572
117	0.1869325628
118	0.1862097455
119	0.1855234216
120	0.1848926882
121	0.1842128334
122	0.1836664651
123	0.1832252197
124	0.1827262254
125	0.1822763352
126	0.1818034737
127	0.181226075
128	0.180551297
129	0.1801376516
130	0.179471321
131	0.1789125377
132	0.1783670035
133	0.1779139085
134	0.1774570296
135	0.1770769244
136	0.1764372269
137	0.1759243655
138	0.1754892046
139	0.1752047003
140	0.1748182439
141	0.1744245419
142	0.1740578712
143	0.1736039027
144	0.173206256
145	0.1728619149
146	0.1724230094
147	0.1720946547
148	0.1717517131
149	0.1715475633
150	0.1711478702
151	0.1707370011
152	0.170454939
153	0.1701353179
154	0.1698277543
155	0.1694963739
156	0.1690060395
157	0.1687119888
158	0.1682715156
159	0.1680498959
160	0.1677889641
161	0.1675579813
162	0.1672382066
163	0.1669355496
164	0.1667203025
165	0.1665070263
166	0.1663335773
167	0.1661619221
168	0.1659072499
169	0.1656000083
170	0.1653443578
171	0.1651076594
172	0.1647515101
173	0.1644776373
174	0.1641524433
175	0.1638477846
176	0.1636189129
177	0.1634224209
178	0.163189385
179	0.1629298914
180	0.1626921223
181	0.1624255871
182	0.1621410045
183	0.1619227496
184	0.161658474
185	0.1614464976
186	0.1612375755
187	0.1610230874
188	0.160821416
189	0.1606973974
190	0.1605228135
191	0.160384597
192	0.1601748647
193	0.1598891175
194	0.1597268428
195	0.1595759155
196	0.1593518736
197	0.1591438939
198	0.1588917162
199	0.1586642806
200	0.1584983321
201	0.1582461327
202	0.1580664285
203	0.157918283
204	0.1577400431
205	0.1575193378
